COU,Country,VAR,Variable,YEA,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
AUT,Austria,INCINERATION,Total Incineration,1990,1990,TONNE,Tonnes,3,Thousands,,,312.0,,
AUT,Austria,INCINERATION,Total Incineration,1991,1991,TONNE,Tonnes,3,Thousands,,,341.0,,
AUT,Austria,INCINERATION,Total Incineration,1992,1992,TONNE,Tonnes,3,Thousands,,,399.0,,
AUT,Austria,INCINERATION,Total Incineration,1993,1993,TONNE,Tonnes,3,Thousands,,,410.0,,
AUT,Austria,INCINERATION,Total Incineration,1994,1994,TONNE,Tonnes,3,Thousands,,,404.0,,
AUT,Austria,INCINERATION,Total Incineration,1995,1995,TONNE,Tonnes,3,Thousands,,,431.0,,
AUT,Austria,INCINERATION,Total Incineration,1996,1996,TONNE,Tonnes,3,Thousands,,,431.0,,
AUT,Austria,INCINERATION,Total Incineration,1997,1997,TONNE,Tonnes,3,Thousands,,,445.0,,
AUT,Austria,INCINERATION,Total Incineration,1998,1998,TONNE,Tonnes,3,Thousands,,,440.0,,
AUT,Austria,INCINERATION,Total Incineration,1999,1999,TONNE,Tonnes,3,Thousands,,,456.0,,
AUT,Austria,INCINERATION,Total Incineration,2000,2000,TONNE,Tonnes,3,Thousands,,,522.0,,
AUT,Austria,INCINERATION,Total Incineration,2001,2001,TONNE,Tonnes,3,Thousands,,,521.0,,
AUT,Austria,INCINERATION,Total Incineration,2002,2002,TONNE,Tonnes,3,Thousands,,,530.0,,
AUT,Austria,INCINERATION,Total Incineration,2003,2003,TONNE,Tonnes,3,Thousands,,,592.0,,
AUT,Austria,INCINERATION,Total Incineration,2004,2004,TONNE,Tonnes,3,Thousands,,,1380.0,,
AUT,Austria,INCINERATION,Total Incineration,2005,2005,TONNE,Tonnes,3,Thousands,,,1309.8,E,Estimated value
AUT,Austria,INCINERATION,Total Incineration,2006,2006,TONNE,Tonnes,3,Thousands,,,1429.5,,
AUT,Austria,INCINERATION,Total Incineration,2007,2007,TONNE,Tonnes,3,Thousands,,,1453.1,,
AUT,Austria,INCINERATION,Total Incineration,2008,2008,TONNE,Tonnes,3,Thousands,,,1357.0,,
AUT,Austria,INCINERATION,Total Incineration,2009,2009,TONNE,Tonnes,3,Thousands,,,1440.4,,
AUT,Austria,INCINERATION,Total Incineration,2010,2010,TONNE,Tonnes,3,Thousands,,,1636.2,,
AUT,Austria,INCINERATION,Total Incineration,2011,2011,TONNE,Tonnes,3,Thousands,,,1678.2,,
AUT,Austria,INCINERATION,Total Incineration,2012,2012,TONNE,Tonnes,3,Thousands,,,1692.9,,
AUT,Austria,INCINERATION,Total Incineration,2013,2013,TONNE,Tonnes,3,Thousands,,,1715.5,,
AUT,Austria,INCINERATION,Total Incineration,2014,2014,TONNE,Tonnes,3,Thousands,,,1755.8,,
AUT,Austria,INCINERATION,Total Incineration,2015,2015,TONNE,Tonnes,3,Thousands,,,1832.7,,
AUT,Austria,INCINERATION,Total Incineration,2016,2016,TONNE,Tonnes,3,Thousands,,,1855.4,,
AUT,Austria,INCINERATION,Total Incineration,2017,2017,TONNE,Tonnes,3,Thousands,,,1943.7,,
AUT,Austria,INCINERATION,Total Incineration,2018,2018,TONNE,Tonnes,3,Thousands,,,1976.5,,
BEL,Belgium,INCINERATION,Total Incineration,1990,1990,TONNE,Tonnes,3,Thousands,,,1784.0,,
BEL,Belgium,INCINERATION,Total Incineration,1991,1991,TONNE,Tonnes,3,Thousands,,,1739.0,,
BEL,Belgium,INCINERATION,Total Incineration,1992,1992,TONNE,Tonnes,3,Thousands,,,1772.0,,
